      Step     Time          Energy          fmax
BFGS:    0 14:57:02    -2013.745207        5.141617
BFGS:    1 14:58:07    -2014.467379        3.511510
BFGS:    2 14:59:20    -2014.714664        2.615852
BFGS:    3 15:00:52    -2014.925229        2.672731
BFGS:    4 15:02:18    -2015.226699        0.667308
BFGS:    5 15:03:45    -2015.240209        0.276463
BFGS:    6 15:05:07    -2015.244366        0.294535
BFGS:    7 15:06:25    -2015.251077        0.317831
BFGS:    8 15:07:42    -2015.255137        0.236945
BFGS:    9 15:09:01    -2015.258062        0.101329
BFGS:   10 15:10:18    -2015.258763        0.029302
BFGS:   11 15:11:36    -2015.258855        0.016841
BFGS:   12 15:12:55    -2015.258861        0.004538
