      Step     Time          Energy          fmax
BFGS:    0 13:15:56    -2013.743000        5.138938
BFGS:    1 13:16:44    -2014.465169        3.517515
BFGS:    2 13:17:35    -2014.712046        2.622628
BFGS:    3 13:18:26    -2014.921995        2.668926
BFGS:    4 13:20:08    -2015.225044        0.639542
BFGS:    5 13:21:14    -2015.238273        0.271333
BFGS:    6 13:22:19    -2015.242319        0.287626
BFGS:    7 13:23:21    -2015.248752        0.302378
BFGS:    8 13:24:21    -2015.252629        0.224444
BFGS:    9 13:25:28    -2015.255568        0.102128
BFGS:   10 13:26:39    -2015.256271        0.029949
BFGS:   11 13:27:41    -2015.256367        0.016483
BFGS:   12 13:28:41    -2015.256373        0.004306
